Course Name,Cut-off ATAR,Duration,Award Type,Field of Education,Provider,Campus,Level
Associate Degree of Advertising,N/A,2 years,Associate Degree,Advertising,Federation University Australia,Ballarat VIC,Undergraduate
Associate Degree of Allied Health,45.00,2 years,Associate Degree,Rehabilitation Therapies nec,Southern Cross University,Gold Coast QLD,Undergraduate
ASSOCIATE DEGREE OF APPLIED INFORMATION AND COMMUNICATION TECHNOLOGY,N/A,2 years,Associate Degree,Information Systems,Swinburne University of Technology,Hawthorn VIC,Undergraduate
Associate Degree of Arts,45.00,2 years,Associate Degree,Communication & Media Studies n.e.c.,Southern Cross University,Gold Coast QLD,Undergraduate
Associate Degree of Arts,45.00,2 years,Associate Degree,Communication & Media Studies n.e.c.,Southern Cross University,Coffs Harbour NSW,Undergraduate
Associate Degree of Arts,45.00,2 years,Associate Degree,Communication & Media Studies n.e.c.,Southern Cross University,Distance Education,Undergraduate
"ASSOCIATE DEGREE OF ARTS, BUSINESS AND SCIENCES",N/A,2 years,Associate Degree,Education n.e.c.,Deakin University,GEELONG VIC,Undergraduate
"ASSOCIATE DEGREE OF ARTS, BUSINESS AND SCIENCES",N/A,2 years,Associate Degree,Education n.e.c.,Deakin University,WARRNAMBOOL VIC,Undergraduate
"ASSOCIATE DEGREE OF ARTS, BUSINESS AND SCIENCES",N/A,2 years,Associate Degree,Education n.e.c.,Deakin University,WARRNAMBOOL VIC,Undergraduate
ASSOCIATE DEGREE OF AVIATION,N/A,1.5 years,Associate Degree,Aerospace Engineering & Technology n.e.c.,Swinburne University of Technology,Hawthorn VIC,Undergraduate
Associate Degree of Business,45.00,2 years,Associate Degree,Business & Management n.e.c.,Southern Cross University,Gold Coast QLD,Undergraduate
Associate Degree of Business,45.00,2 years,Associate Degree,Business & Management n.e.c.,Southern Cross University,Lismore NSW,Undergraduate
Associate Degree of Business,45.00,2 years,Associate Degree,Business & Management n.e.c.,Southern Cross University,Coffs Harbour NSW,Undergraduate
Associate Degree of Business,45.00,2 years,Associate Degree,Business & Management n.e.c.,Southern Cross University,Distance Education,Undergraduate
Associate Degree of Business,See details,2 years,Associate Degree,Business & Management,University of Southern Queensland,TOOWOOMBA QLD,Undergraduate
Associate Degree of Business,See details,2 years,Associate Degree,Business & Management,University of Southern Queensland,Fraser Coast QLD,Undergraduate
Associate Degree of Business,See details,2 years,Associate Degree,Business & Management,University of Southern Queensland,SPRINGFIELD QLD,Undergraduate
Associate Degree of Business,See details,2 years,Associate Degree,Business & Management,University of Southern Queensland,DISTANCE EDUCATION,Undergraduate
ASSOCIATE DEGREE OF BUSINESS ADMINISTRATION,N/A,2 years,Associate Degree,Business & Management,Swinburne University of Technology,Hawthorn VIC,Undergraduate
Associate Degree of Construction,See details,2 years,Associate Degree,Building,University of Southern Queensland,TOOWOOMBA QLD,Undergraduate
Associate Degree of Construction,See details,2 years,Associate Degree,Building,University of Southern Queensland,SPRINGFIELD QLD,Undergraduate
Associate Degree of Construction,See details,2 years,Associate Degree,Building,University of Southern Queensland,DISTANCE EDUCATION,Undergraduate
Associate Degree of Creative Writing,63.00,2 years,Associate Degree,Written Communication,Southern Cross University,Lismore NSW,Undergraduate
Associate Degree of Creative Writing,63.00,2 years,Associate Degree,Written Communication,Southern Cross University,Distance Education,Undergraduate
Associate Degree of Engineering,See details,2 years,Associate Degree,Engineering & Related Technologies n.e.c.,University of Southern Queensland,TOOWOOMBA QLD,Undergraduate
Associate Degree of Engineering,See details,2 years,Associate Degree,Engineering & Related Technologies n.e.c.,University of Southern Queensland,SPRINGFIELD QLD,Undergraduate
Associate Degree of Engineering,See details,2 years,Associate Degree,Engineering & Related Technologies n.e.c.,University of Southern Queensland,DISTANCE EDUCATION,Undergraduate
"Associate Degree of Event, Sport and Recreation Management",55.00,2 years,Associate Degree,Business & Management,Edith Cowan University,JOONDALUP WA,Undergraduate
Associate Degree of Health,See details,2 years,Associate Degree,Health n.e.c.,University of Southern Queensland,TOOWOOMBA QLD,Undergraduate
Associate Degree of Health,See details,2 years,Associate Degree,Health n.e.c.,University of Southern Queensland,DISTANCE EDUCATION,Undergraduate
ASSOCIATE DEGREE OF HEALTH AND COMMUNITY CARE,N/A,2 years,Associate Degree,Studies in Human Society,Swinburne University of Technology,Hawthorn VIC,Undergraduate
Associate Degree of Hospitality and Tourism Management,55.05,2 years,Associate Degree,Business & Management,Edith Cowan University,JOONDALUP WA,Undergraduate
Associate Degree of Information Technology,N/A,2 years,Associate Degree,Information Technology n.e.c.,Federation University Australia,Mt Helen VIC,Undergraduate
Associate Degree of Information Technology,65.00,2 years,Associate Degree,Information Systems n.e.c.,Southern Cross University,Coffs Harbour NSW,Undergraduate
Associate Degree of Information Technology,65.00,2 years,Associate Degree,Information Systems n.e.c.,Southern Cross University,Distance Education,Undergraduate
Associate Degree of International Hospitality Management,N/A,2 years,Associate Degree,Hospitality Management,Federation University Australia,Ballarat VIC,Undergraduate
Associate Degree of Justice Studies,68.00,2 years,Associate Degree,Justice Administration,University of Canberra,Bruce ACT,Undergraduate
Associate Degree of Science,45.00,2 years,Associate Degree,Natural & Physical Sciences n.e.c.,Southern Cross University,Lismore NSW,Undergraduate
Associate Degree of Science,45.00,2 years,Associate Degree,Natural & Physical Sciences n.e.c.,Southern Cross University,Distance Education,Undergraduate
Associate Degree of Spatial Science,See details,2 years,Associate Degree,Engineering & Related Technologies n.e.c.,University of Southern Queensland,TOOWOOMBA QLD,Undergraduate
Associate Degree of Spatial Science,See details,2 years,Associate Degree,Engineering & Related Technologies n.e.c.,University of Southern Queensland,DISTANCE EDUCATION,Undergraduate
B Accident Forensics,65.80,3 years,Bachelor's Pass,Occupational Health & Safety,Central Queensland University,Bundaberg QLD,Undergraduate
B Accident Forensics,65.80,3 years,Bachelor's Pass,Occupational Health & Safety,Central Queensland University,Rockhampton QLD,Undergraduate
B Accident Forensics,65.80,3 years,Bachelor's Pass,Occupational Health & Safety,Central Queensland University,Distance Ed,Undergraduate
B Accounting,53.70,3 years,Bachelor's Pass,Accounting (Detailed),Central Queensland University,Brisbane QLD,Undergraduate
B Accounting,53.70,3 years,Bachelor's Pass,Accounting (Detailed),Central Queensland University,Bundaberg QLD,Undergraduate
B Accounting,53.70,3 years,Bachelor's Pass,Accounting (Detailed),Central Queensland University,Emerald QLD,Undergraduate
B Accounting,53.70,3 years,Bachelor's Pass,Accounting (Detailed),Central Queensland University,Gladstone QLD,Undergraduate
B Accounting,53.70,3 years,Bachelor's Pass,Accounting (Detailed),Central Queensland University,Mackay QLD,Undergraduate
B Accounting,53.70,3 years,Bachelor's Pass,Accounting (Detailed),Central Queensland University,Melbourne VIC,Undergraduate
B Accounting,53.70,3 years,Bachelor's Pass,Accounting (Detailed),Central Queensland University,Pomona QLD,Undergraduate
B Accounting,53.70,3 years,Bachelor's Pass,Accounting (Detailed),Central Queensland University,Rockhampton QLD,Undergraduate
B Accounting,53.70,3 years,Bachelor's Pass,Accounting (Detailed),Central Queensland University,Sydney NSW,Undergraduate
B Accounting,53.70,3 years,Bachelor's Pass,Accounting (Detailed),Central Queensland University,Distance Ed,Undergraduate
B Acct/B Bus,53.70,4 years,Bachelor's Pass,"Accounting (Detailed), Information Systems",Central Queensland University,Brisbane QLD,Undergraduate
B Acct/B Bus,53.70,4 years,Bachelor's Pass,"Accounting (Detailed), Information Systems",Central Queensland University,Bundaberg QLD,Undergraduate
B Acct/B Bus,N/A,4 years,Bachelor's Pass,"Accounting (Detailed), Information Systems",Central Queensland University,Emerald QLD,Undergraduate
B Acct/B Bus,53.70,4 years,Bachelor's Pass,"Accounting (Detailed), Information Systems",Central Queensland University,Gladstone QLD,Undergraduate
B Acct/B Bus,53.70,4 years,Bachelor's Pass,"Accounting (Detailed), Information Systems",Central Queensland University,Mackay QLD,Undergraduate
B Acct/B Bus,53.70,4 years,Bachelor's Pass,"Accounting (Detailed), Information Systems",Central Queensland University,Melbourne VIC,Undergraduate
B Acct/B Bus,53.70,4 years,Bachelor's Pass,"Accounting (Detailed), Information Systems",Central Queensland University,Rockhampton QLD,Undergraduate
B Acct/B Bus,53.70,4 years,Bachelor's Pass,"Accounting (Detailed), Information Systems",Central Queensland University,Sydney NSW,Undergraduate
B Acct/B Bus,53.70,4 years,Bachelor's Pass,"Accounting (Detailed), Information Systems",Central Queensland University,Distance Ed,Undergraduate
B Advanced Science Honours,N/A,4 years,Bachelor's Honours,Biological Sciences,The University of Queensland,STLUCIA QLD,Undergraduate
